scenario	implementation	operations	integrated_entities	live_entities	integration_rows_scanned	component_lookups	structural_table_transitions	query_cache_updates	snapshot_slots_scanned	snapshot_entities_materialized	entity_index_entries	component_index_slots	query_index_slots	query_rows	peak_component_index_slots	peak_query_index_slots
churn-128	archetype-table	1416	1024	128	1024	0	1280	0	128	128	128	0	0	0	0	0
churn-128	cached-sparse	1416	1024	128	1024	0	0	1664	128	128	128	512	256	128	512	256
churn-128	reference	1416	1024	128	1024	0	0	0	128	128	128	0	0	0	0	0
churn-128	sparse-set	1416	1024	128	1024	1024	0	0	128	128	128	512	0	0	512	0
dense-1024	archetype-table	3080	8192	1024	8192	0	2048	0	1024	1024	1024	0	0	0	0	0
dense-1024	cached-sparse	3080	8192	1024	8192	0	0	1024	1024	1024	1024	2048	1024	1024	2048	1024
dense-1024	reference	3080	8192	1024	8192	0	0	0	1024	1024	1024	0	0	0	0	0
dense-1024	sparse-set	3080	8192	1024	8192	8192	0	0	1024	1024	1024	2048	0	0	2048	0
dense-128	archetype-table	392	1024	128	1024	0	256	0	128	128	128	0	0	0	0	0
dense-128	cached-sparse	392	1024	128	1024	0	0	128	128	128	128	512	256	128	512	256
dense-128	reference	392	1024	128	1024	0	0	0	128	128	128	0	0	0	0	0
dense-128	sparse-set	392	1024	128	1024	1024	0	0	128	128	128	512	0	0	512	0
distant-live	archetype-table	24	12	6	12	0	16	0	6	6	6	0	0	0	0	0
distant-live	cached-sparse	24	12	6	12	0	0	12	6	6	6	2048	1024	6	2048	1024
distant-live	reference	24	12	6	12	0	0	0	6	6	6	0	0	0	0	0
distant-live	sparse-set	24	12	6	12	12	0	0	6	6	6	2048	0	0	2048	0
distant-reclaimed	archetype-table	31	12	0	12	0	16	0	0	0	0	0	0	0	0	0
distant-reclaimed	cached-sparse	31	12	0	12	0	0	23	0	0	0	0	0	0	2048	1024
distant-reclaimed	reference	31	12	0	12	0	0	0	0	0	0	0	0	0	0	0
distant-reclaimed	sparse-set	31	12	0	12	12	0	0	0	0	0	0	0	0	2048	0
empty	archetype-table	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
empty	cached-sparse	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
empty	reference	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
empty	sparse-set	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
no-match-1024	archetype-table	2056	0	1024	0	0	1024	0	1024	1024	1024	0	0	0	0	0
no-match-1024	cached-sparse	2056	0	1024	0	0	0	0	1024	1024	1024	1024	0	0	1024	0
no-match-1024	reference	2056	0	1024	8192	0	0	0	1024	1024	1024	0	0	0	0	0
no-match-1024	sparse-set	2056	0	1024	0	0	0	0	1024	1024	1024	1024	0	0	1024	0
quarter-1024	archetype-table	2312	2048	1024	2048	0	1280	0	1024	1024	1024	0	0	0	0	0
quarter-1024	cached-sparse	2312	2048	1024	2048	0	0	256	1024	1024	1024	2048	1024	256	2048	1024
quarter-1024	reference	2312	2048	1024	8192	0	0	0	1024	1024	1024	0	0	0	0	0
quarter-1024	sparse-set	2312	2048	1024	2048	2048	0	0	1024	1024	1024	2048	0	0	2048	0
sparse-1024	archetype-table	2072	128	1024	128	0	1040	0	1024	1024	1024	0	0	0	0	0
sparse-1024	cached-sparse	2072	128	1024	128	0	0	16	1024	1024	1024	2048	1024	16	2048	1024
sparse-1024	reference	2072	128	1024	8192	0	0	0	1024	1024	1024	0	0	0	0	0
sparse-1024	sparse-set	2072	128	1024	128	128	0	0	1024	1024	1024	2048	0	0	2048	0
